group,participant,condition,item,basic_n,contrast_n,sub_n,sup_n,other_n
A,7a4a69c7de10e01f2553b14568bcfdd9,single,animal,0.71,0,0.29,0,0
A,7a4a69c7de10e01f2553b14568bcfdd9,contrast,beast,0,0,1,0,0
A,7a4a69c7de10e01f2553b14568bcfdd9,single,electronics,0.67,0,0.33,0,0
A,7a4a69c7de10e01f2553b14568bcfdd9,contrast,fruit,0,0,1,0,0
A,7a4a69c7de10e01f2553b14568bcfdd9,single,furniture,0.67,0,0.33,0,0
A,7a4a69c7de10e01f2553b14568bcfdd9,contrast,light,0,0,1,0,0
A,7a4a69c7de10e01f2553b14568bcfdd9,single,vegetable,0.67,0,0.33,0,0
A,7a4a69c7de10e01f2553b14568bcfdd9,contrast,vehicle,0,0,1,0,0
A,b1c1994160b2cb0dd33663c00cb78cad,single,animal,0.71,0,0.29,0,0
A,b1c1994160b2cb0dd33663c00cb78cad,contrast,beast,0,0,1,0,0
A,b1c1994160b2cb0dd33663c00cb78cad,single,electronics,0.5,0,0.5,0,0
A,b1c1994160b2cb0dd33663c00cb78cad,contrast,fruit,0.5,0.5,0,0,0
A,b1c1994160b2cb0dd33663c00cb78cad,single,furniture,0.71,0,0.29,0,0
A,b1c1994160b2cb0dd33663c00cb78cad,contrast,light,0,0,1,0,0
A,b1c1994160b2cb0dd33663c00cb78cad,single,vegetable,0.71,0,0.29,0,0
A,b1c1994160b2cb0dd33663c00cb78cad,contrast,vehicle,0.6,0,0.4,0,0
B,33e9b6e30588abb3e2f4491fdc571e8c,contrast,animal,0,0.5,0.5,0,0
B,33e9b6e30588abb3e2f4491fdc571e8c,single,beast,0.71,0,0.29,0,0
B,33e9b6e30588abb3e2f4491fdc571e8c,contrast,electronics,0,0.5,0.5,0,0
B,33e9b6e30588abb3e2f4491fdc571e8c,single,fruit,0.67,0,0.33,0,0
B,33e9b6e30588abb3e2f4491fdc571e8c,contrast,furniture,0,0.5,0.5,0,0
B,33e9b6e30588abb3e2f4491fdc571e8c,single,light,0.5,0,0.5,0,0
B,33e9b6e30588abb3e2f4491fdc571e8c,contrast,vegetable,0.43,0.29,0.29,0,0
B,33e9b6e30588abb3e2f4491fdc571e8c,single,vehicle,0,0,1,0,0
B,3d2a5ad1bdad0baf052031ad096a77a8,contrast,animal,0.33,0.67,0,0,0
B,3d2a5ad1bdad0baf052031ad096a77a8,single,beast,0.62,0,0.25,0.12,0
B,3d2a5ad1bdad0baf052031ad096a77a8,contrast,electronics,0,0,1,0,0
B,3d2a5ad1bdad0baf052031ad096a77a8,single,fruit,0.71,0,0.29,0,0
B,3d2a5ad1bdad0baf052031ad096a77a8,contrast,furniture,0.33,0,0.67,0,0
B,3d2a5ad1bdad0baf052031ad096a77a8,single,light,0.5,0,0.5,0,0
B,3d2a5ad1bdad0baf052031ad096a77a8,contrast,vegetable,0,0,1,0,0
B,3d2a5ad1bdad0baf052031ad096a77a8,single,vehicle,0,0,1,0,0
C,0eb0033fb8cfb99676422eda4fb283ce,single,animal,0.62,0,0.25,0.12,0
C,0eb0033fb8cfb99676422eda4fb283ce,single,beast,0.62,0,0.25,0.12,0
C,0eb0033fb8cfb99676422eda4fb283ce,contrast,electronics,0,0,1,0,0
C,0eb0033fb8cfb99676422eda4fb283ce,contrast,fruit,0,0,1,0,0
C,0eb0033fb8cfb99676422eda4fb283ce,single,furniture,0.71,0,0.29,0,0
C,0eb0033fb8cfb99676422eda4fb283ce,single,light,0.71,0,0.29,0,0
C,0eb0033fb8cfb99676422eda4fb283ce,contrast,vegetable,0,0,1,0,0
C,0eb0033fb8cfb99676422eda4fb283ce,contrast,vehicle,0.5,0,0.5,0,0
C,bfe4b7cc17e52de65731f6f1973d1695,single,animal,0.67,0,0.33,0,0
C,bfe4b7cc17e52de65731f6f1973d1695,single,beast,0.67,0,0.33,0,0
C,bfe4b7cc17e52de65731f6f1973d1695,contrast,electronics,0,0,1,0,0
C,bfe4b7cc17e52de65731f6f1973d1695,contrast,fruit,0,0,1,0,0
C,bfe4b7cc17e52de65731f6f1973d1695,single,furniture,0.6,0,0.4,0,0
C,bfe4b7cc17e52de65731f6f1973d1695,single,light,0.43,0,0.29,0.29,0
C,bfe4b7cc17e52de65731f6f1973d1695,contrast,vegetable,0,0,1,0,0
C,bfe4b7cc17e52de65731f6f1973d1695,contrast,vehicle,0.33,0.67,0,0,0
D,52cebdff8c1e2433c2310be25bd03be3,contrast,animal,0,0,1,0,0
D,52cebdff8c1e2433c2310be25bd03be3,contrast,beast,0,0,1,0,0
D,52cebdff8c1e2433c2310be25bd03be3,single,electronics,0.5,0,0.5,0,0
D,52cebdff8c1e2433c2310be25bd03be3,single,fruit,0.71,0,0.29,0,0
D,52cebdff8c1e2433c2310be25bd03be3,contrast,furniture,0.33,0,0.67,0,0
D,52cebdff8c1e2433c2310be25bd03be3,contrast,light,0,0,1,0,0
D,52cebdff8c1e2433c2310be25bd03be3,single,vegetable,0.71,0,0.29,0,0
D,52cebdff8c1e2433c2310be25bd03be3,single,vehicle,0,0,1,0,0
D,5ab45ca0d6e1938e5afea5031a0e8bb4,contrast,animal,0,0,1,0,0
D,5ab45ca0d6e1938e5afea5031a0e8bb4,contrast,beast,0,0,1,0,0
D,5ab45ca0d6e1938e5afea5031a0e8bb4,single,electronics,0,0,1,0,0
D,5ab45ca0d6e1938e5afea5031a0e8bb4,single,fruit,0,0,1,0,0
D,5ab45ca0d6e1938e5afea5031a0e8bb4,contrast,furniture,0,0,1,0,0
D,5ab45ca0d6e1938e5afea5031a0e8bb4,contrast,light,0,0,1,0,0
D,5ab45ca0d6e1938e5afea5031a0e8bb4,single,vegetable,0.6,0,0.4,0,0
D,5ab45ca0d6e1938e5afea5031a0e8bb4,single,vehicle,0,0,1,0,0
